,Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Use_Promotion,Discount_Rate,Room_Rate,Expected_stay_days,Reservation_gap
13,40697301,M,49,Latino,Mid-School,25K --50K,South,City Hotel,11/18/2016,11/19/2016,4/24/2016,2,2,1,FB,No,No,No Deposit,Online,Yes,Yes,20,106,1,208
14,63963888,F,57,caucasian,Mid-School,50K -- 100K,South,Resort,11/18/2016,11/21/2016,4/14/2016,1,1,0,FB,No,No,Refundable,Direct,Yes,Yes,5,232,3,218
15,27282946,F,57,Asian American,College,50K -- 100K,North,Resort,11/20/2016,11/21/2016,11/19/2016,2,3,0,HB,No,No,No Deposit,Online,No,No,0,164,1,1
16,8696141,M,61,African American,College,50K -- 100K,South,Airport Hotels,11/18/2016,11/21/2016,8/16/2016,1,3,0,BB,Yes,No,Refundable,Agent,Yes,Yes,10,180,3,94
17,52621292,M,29,Latino,College,25K --50K,South,Resort,11/18/2016,11/19/2016,7/19/2016,2,2,0,BB,Yes,No,Refundable,Online,Yes,Yes,10,220,1,122
18,21821230,M,39,Latino,Mid-School,50K -- 100K,North,Airport Hotels,11/18/2016,11/19/2016,6/30/2016,3,2,1,HB,Yes,Yes,Refundable,Online,No,Yes,20,153,1,141
19,12316731,M,55,Latino,College,50K -- 100K,North,Airport Hotels,11/18/2016,11/19/2016,10/4/2016,5,1,1,HB,No,No,No Deposit,Online,Yes,Yes,20,173,1,45
20,93926052,F,33,caucasian,High-School,50K -- 100K,North,Resort,11/18/2016,11/21/2016,8/9/2016,4,1,2,BB,No,No,No Deposit,Agent,No,Yes,10,143,3,101
21,5935873,F,18,caucasian,Grad,>100K,South,Airport Hotels,11/18/2016,11/19/2016,4/14/2016,2,1,0,FB,No,No,Refundable,Direct,Yes,No,0,112,1,218
22,56971851,F,25,caucasian,College,25K --50K,South,City Hotel,11/18/2016,11/21/2016,4/18/2016,2,2,1,HB,Yes,No,Non-Refundable,Online,Yes,No,0,156,3,214
23,72701445,M,50,African American,Grad,50K -- 100K,East,Resort,11/18/2016,11/20/2016,5/26/2016,5,2,1,BB,No,No,No Deposit,Online,No,No,0,248,2,176
24,27017349,F,19,Asian American,College,50K -- 100K,South,City Hotel,11/18/2016,11/20/2016,10/12/2016,2,3,0,BB,Yes,No,No Deposit,Online,No,Yes,5,157,2,37
25,60891446,F,31,Asian American,High-School,50K -- 100K,North,City Hotel,11/19/2016,11/20/2016,7/15/2016,1,1,0,HB,No,No,No Deposit,Online,Yes,Yes,10,143,1,127
26,27044174,M,65,caucasian,Grad,>100K,South,Resort,11/19/2016,11/20/2016,6/29/2016,2,1,1,HB,No,No,No Deposit,Direct,Yes,Yes,10,214,1,143
27,88238517,F,60,Asian American,College,>100K,South,City Hotel,11/19/2016,11/20/2016,4/14/2016,3,1,0,HB,No,No,No Deposit,Online,Yes,Yes,10,239,1,219
28,61900789,F,66,Latino,Mid-School,50K -- 100K,South,Airport Hotels,11/19/2016,11/20/2016,11/11/2016,5,2,0,HB,No,No,No Deposit,Online,Yes,Yes,40,230,1,8
29,64883577,M,59,caucasian,College,25K --50K,South,City Hotel,11/19/2016,11/20/2016,7/31/2016,3,1,0,BB,No,No,No Deposit,Online,Yes,No,0,190,1,111
30,55378041,F,21,African American,College,<25K,West,City Hotel,11/19/2016,11/21/2016,6/28/2016,3,1,1,HB,No,No,No Deposit,Online,No,Yes,25,196,2,144
31,53798465,M,68,caucasian,College,50K -- 100K,South,Airport Hotels,11/21/2016,11/22/2016,4/23/2016,4,2,0,BB,No,No,No Deposit,Online,No,Yes,5,209,1,212
32,60781799,M,29,caucasian,College,>100K,South,Resort,11/19/2016,11/21/2016,8/14/2016,1,1,0,FB,No,No,Refundable,Online,Yes,Yes,5,188,2,97
33,94752419,F,67,African American,College,>100K,West,City Hotel,11/19/2016,11/20/2016,8/31/2016,2,1,0,FB,No,No,No Deposit,Direct,Yes,Yes,10,205,1,80
34,60425470,M,43,African American,Mid-School,<25K,South,City Hotel,11/19/2016,11/20/2016,10/21/2016,2,1,0,FB,No,No,Refundable,Direct,Yes,Yes,5,150,1,29
35,96410589,F,27,Asian American,College,50K -- 100K,South,City Hotel,11/19/2016,11/22/2016,11/16/2016,2,2,0,HB,Yes,Yes,Refundable,Online,No,Yes,5,226,3,3
36,41224708,F,45,caucasian,High-School,<25K,South,Resort,11/19/2016,11/20/2016,4/30/2016,1,3,0,HB,No,No,No Deposit,Direct,Yes,Yes,10,191,1,203
37,74972878,M,38,caucasian,Grad,25K --50K,West,Resort,11/19/2016,11/20/2016,11/16/2016,1,3,0,BB,No,No,Non-Refundable,Online,Yes,Yes,20,248,1,3
38,50824748,F,18,Latino,Mid-School,<25K,East,City Hotel,11/20/2016,11/21/2016,5/3/2016,2,1,0,BB,No,No,Refundable,Online,Yes,Yes,5,154,1,201
39,94524482,F,26,caucasian,High-School,50K -- 100K,South,Resort,2/5/2017,2/6/2017,9/9/2016,2,2,1,BB,No,No,Refundable,Online,No,Yes,25,232,1,149
40,32635033,M,50,Asian American,College,>100K,West,City Hotel,3/12/2017,3/13/2017,10/24/2016,2,1,1,HB,No,No,No Deposit,Online,Yes,Yes,5,248,1,139
41,92183172,F,20,African American,College,50K -- 100K,North,Airport Hotels,11/19/2016,11/20/2016,10/16/2016,1,1,0,FB,No,No,No Deposit,Agent,Yes,Yes,10,107,1,34
42,28323092,M,42,Latino,College,<25K,South,City Hotel,11/19/2016,11/22/2016,10/29/2016,1,2,0,HB,Yes,No,Refundable,Online,Yes,Yes,25,186,3,21
43,86372652,F,39,Asian American,Mid-School,>100K,South,City Hotel,11/19/2016,11/21/2016,9/25/2016,2,1,0,FB,Yes,No,No Deposit,Direct,Yes,Yes,30,138,2,55
44,19585428,M,69,caucasian,Mid-School,<25K,West,Airport Hotels,11/19/2016,11/21/2016,4/23/2016,2,1,1,BB,No,No,No Deposit,Online,Yes,Yes,20,132,2,210
45,42025914,M,33,Asian American,Grad,50K -- 100K,North,Resort,11/19/2016,11/22/2016,7/11/2016,4,2,0,FB,Yes,No,Refundable,Direct,No,Yes,5,225,3,131
46,85872241,M,57,caucasian,High-School,>100K,South,Airport Hotels,11/19/2016,11/20/2016,6/28/2016,5,1,0,FB,No,No,Refundable,Direct,Yes,Yes,15,104,1,144
47,16826564,M,62,African American,College,>100K,South,City Hotel,11/20/2016,11/21/2016,5/8/2016,2,3,0,FB,No,No,Refundable,Agent,Yes,No,0,138,1,196
48,80812644,M,69,Latino,College,50K -- 100K,South,City Hotel,11/19/2016,11/20/2016,7/16/2016,3,1,0,BB,Yes,No,Non-Refundable,Online,Yes,Yes,10,238,1,126
49,64063500,M,51,caucasian,High-School,25K --50K,East,Airport Hotels,11/19/2016,11/20/2016,9/28/2016,4,1,0,BB,No,No,Non-Refundable,Online,Yes,Yes,5,110,1,52
50,39990516,M,54,Asian American,College,<25K,North,Airport Hotels,4/9/2017,4/10/2017,3/21/2017,1,1,0,BB,No,No,No Deposit,Online,No,Yes,10,140,1,19
51,71506176,M,59,Latino,College,50K -- 100K,West,City Hotel,4/22/2017,4/23/2017,2/20/2017,2,1,0,BB,No,No,No Deposit,Agent,Yes,Yes,15,169,1,61
52,70061836,F,57,African American,Grad,25K --50K,East,City Hotel,11/19/2016,11/22/2016,4/29/2016,2,1,0,BB,Yes,No,No Deposit,Online,Yes,Yes,40,228,3,204
53,25308221,F,34,caucasian,College,25K --50K,South,Airport Hotels,11/19/2016,11/23/2016,4/28/2016,3,1,0,HB,Yes,No,Non-Refundable,Online,No,Yes,10,133,4,205
54,75655661,M,34,caucasian,College,50K -- 100K,South,Resort,11/19/2016,11/23/2016,5/30/2016,1,1,0,HB,Yes,No,No Deposit,Online,Yes,Yes,5,178,4,173
55,41754532,M,48,Latino,College,50K -- 100K,South,Airport Hotels,11/19/2016,11/21/2016,10/19/2016,2,1,0,BB,No,No,Refundable,Direct,No,Yes,5,115,2,31
56,87457897,M,28,Asian American,College,>100K,South,Airport Hotels,11/19/2016,11/21/2016,11/1/2016,2,2,2,FB,No,No,Refundable,Direct,Yes,Yes,10,248,2,18
57,33332229,M,35,African American,College,<25K,South,Resort,11/19/2016,11/22/2016,8/12/2016,1,2,0,FB,Yes,No,No Deposit,Online,No,Yes,10,215,3,99
58,43160739,F,35,Asian American,High-School,<25K,South,City Hotel,11/19/2016,11/20/2016,11/3/2016,3,3,0,FB,No,No,Refundable,Online,No,No,0,183,1,16
59,76748822,F,19,caucasian,Grad,50K -- 100K,South,City Hotel,11/19/2016,11/20/2016,9/26/2016,5,2,0,FB,No,No,Refundable,Online,Yes,Yes,15,227,1,54
60,35120015,M,47,African American,High-School,50K -- 100K,North,City Hotel,11/19/2016,11/21/2016,10/23/2016,4,3,1,HB,No,No,Non-Refundable,Online,Yes,No,0,153,2,27
61,40281701,F,52,Asian American,High-School,50K -- 100K,East,City Hotel,11/19/2016,11/21/2016,11/11/2016,3,2,0,FB,No,No,Refundable,Direct,No,Yes,20,145,2,8
62,27470890,F,62,Asian American,College,<25K,West,City Hotel,11/19/2016,11/20/2016,5/12/2016,2,2,0,BB,No,No,Non-Refundable,Direct,No,No,0,181,1,191
63,18603967,M,59,Asian American,High-School,<25K,South,Airport Hotels,11/19/2016,11/21/2016,9/24/2016,2,3,0,FB,No,No,No Deposit,Online,Yes,Yes,5,240,2,56
64,65425620,M,37,Asian American,Mid-School,>100K,North,Airport Hotels,11/19/2016,11/20/2016,4/14/2016,2,1,0,FB,No,No,No Deposit,Online,No,Yes,40,245,1,219
65,42460243,F,20,Asian American,High-School,<25K,South,Resort,11/19/2016,11/21/2016,5/12/2016,4,3,0,FB,No,No,No Deposit,Online,No,Yes,10,167,2,191
66,2260132,M,63,Asian American,Mid-School,<25K,South,Resort,11/26/2016,11/27/2016,7/2/2016,2,1,2,FB,No,No,No Deposit,Agent,No,Yes,5,220,1,147
67,20252884,F,55,African American,High-School,<25K,South,Resort,11/19/2016,11/20/2016,9/10/2016,3,1,0,HB,No,No,No Deposit,Online,Yes,Yes,30,220,1,70
68,15834405,F,32,caucasian,Grad,25K --50K,South,Airport Hotels,11/20/2016,11/21/2016,9/3/2016,4,1,0,BB,No,No,Refundable,Direct,Yes,Yes,15,211,1,78
69,90882609,M,24,African American,High-School,25K --50K,East,Resort,11/20/2016,11/21/2016,6/15/2016,3,2,0,FB,No,No,No Deposit,Online,Yes,Yes,15,191,1,158
70,76274266,F,58,Asian American,High-School,>100K,South,Resort,11/20/2016,11/21/2016,4/29/2016,2,1,0,HB,No,No,No Deposit,Online,Yes,No,0,134,1,205
71,13465422,F,52,Asian American,College,<25K,North,City Hotel,11/20/2016,11/21/2016,5/8/2016,1,2,0,FB,No,No,No Deposit,Online,Yes,Yes,25,175,1,196
72,4154680,M,67,caucasian,College,>100K,East,Resort,11/20/2016,11/21/2016,11/21/2016,2,1,0,HB,No,No,No Deposit,Agent,Yes,No,0,154,1,-1
73,4039529,F,41,caucasian,College,<25K,West,City Hotel,11/20/2016,11/21/2016,10/14/2016,3,2,0,HB,No,No,No Deposit,Online,Yes,No,0,175,1,37
74,6464114,F,46,African American,College,25K --50K,East,Resort,11/20/2016,11/22/2016,4/19/2016,5,1,0,BB,No,No,No Deposit,Online,No,Yes,20,149,2,215
75,21522961,F,58,African American,Mid-School,<25K,South,Airport Hotels,11/20/2016,11/21/2016,6/20/2016,3,1,1,FB,No,No,No Deposit,Direct,No,Yes,5,103,1,153
76,25365627,M,39,caucasian,High-School,25K --50K,West,Resort,11/20/2016,11/21/2016,4/29/2016,4,1,1,FB,No,No,Non-Refundable,Agent,Yes,Yes,10,155,1,205
77,22773391,F,34,caucasian,High-School,25K --50K,North,Resort,11/20/2016,11/23/2016,8/23/2016,2,1,2,HB,No,No,No Deposit,Agent,No,Yes,30,137,3,89
78,14737797,F,59,caucasian,High-School,>100K,South,Airport Hotels,11/20/2016,11/22/2016,10/14/2016,3,3,0,BB,No,No,Refundable,Direct,Yes,Yes,5,160,2,37
79,39495485,M,54,Latino,High-School,50K -- 100K,South,Resort,11/20/2016,11/21/2016,9/4/2016,5,2,0,HB,Yes,No,No Deposit,Direct,Yes,Yes,15,147,1,77
80,69167054,M,68,African American,High-School,25K --50K,West,Airport Hotels,11/20/2016,11/23/2016,11/9/2016,2,3,1,BB,No,No,No Deposit,Direct,Yes,No,0,113,3,11
81,46999433,F,64,Latino,Grad,50K -- 100K,East,City Hotel,11/20/2016,11/21/2016,5/20/2016,4,1,0,HB,No,No,No Deposit,Agent,Yes,Yes,5,200,1,184
82,23730056,F,61,caucasian,College,<25K,South,Resort,11/20/2016,11/23/2016,9/13/2016,2,2,0,HB,No,No,No Deposit,Online,No,Yes,15,157,3,68
83,65593958,M,59,African American,College,>100K,South,Airport Hotels,11/20/2016,11/23/2016,5/20/2016,1,1,0,FB,No,No,Refundable,Online,No,Yes,40,120,3,184
84,1794817,F,30,Latino,High-School,<25K,South,City Hotel,11/20/2016,11/21/2016,9/29/2016,2,3,0,FB,No,No,No Deposit,Agent,Yes,No,0,185,1,52
85,568595,F,31,African American,College,<25K,North,Airport Hotels,11/20/2016,11/21/2016,7/12/2016,2,2,1,FB,No,No,Refundable,Online,Yes,Yes,25,183,1,131
86,25540175,F,34,Asian American,College,>100K,South,Resort,11/20/2016,11/21/2016,6/28/2016,2,2,1,FB,Yes,Yes,No Deposit,Direct,Yes,No,0,250,1,145
87,84281735,M,54,Latino,Mid-School,50K -- 100K,West,City Hotel,11/20/2016,11/21/2016,11/16/2016,3,2,0,BB,Yes,Yes,No Deposit,Online,Yes,No,0,183,1,4
88,43117940,M,30,caucasian,Mid-School,25K --50K,South,Airport Hotels,11/20/2016,11/22/2016,6/2/2016,3,2,0,FB,No,No,No Deposit,Direct,Yes,Yes,5,152,2,171
89,61747940,M,61,caucasian,Mid-School,50K -- 100K,West,Airport Hotels,11/20/2016,11/21/2016,10/20/2016,1,1,2,FB,Yes,No,Refundable,Online,No,Yes,20,250,1,31
90,83033730,M,55,caucasian,High-School,<25K,South,Airport Hotels,11/20/2016,11/21/2016,8/15/2016,2,1,0,HB,Yes,No,Non-Refundable,Online,No,Yes,5,110,1,97
91,50132508,M,32,Asian American,College,50K -- 100K,North,Airport Hotels,11/20/2016,11/21/2016,9/29/2016,3,1,0,FB,No,No,No Deposit,Direct,No,Yes,5,101,1,52
92,91149643,F,33,caucasian,College,50K -- 100K,North,Resort,11/20/2016,11/21/2016,7/18/2016,4,1,1,HB,No,No,No Deposit,Online,No,Yes,5,197,1,125
93,22294408,F,32,caucasian,High-School,>100K,North,Resort,11/20/2016,11/23/2016,11/16/2016,2,1,0,BB,Yes,No,No Deposit,Direct,Yes,Yes,10,143,3,4
94,83629935,M,43,caucasian,Mid-School,<25K,South,Airport Hotels,11/20/2016,11/21/2016,9/15/2016,2,2,0,HB,No,No,Non-Refundable,Online,Yes,Yes,20,241,1,66
95,90562901,F,58,caucasian,High-School,25K --50K,West,Resort,11/20/2016,11/23/2016,5/31/2016,3,1,1,FB,No,No,No Deposit,Agent,No,Yes,5,151,3,173
96,23362123,F,32,caucasian,Grad,25K --50K,South,City Hotel,11/20/2016,11/21/2016,10/29/2016,1,2,0,FB,Yes,No,Non-Refundable,Online,No,Yes,5,208,1,22
97,25574994,M,35,Asian American,Grad,25K --50K,South,City Hotel,11/20/2016,11/23/2016,11/8/2016,1,1,1,BB,No,No,Refundable,Online,Yes,No,0,186,3,12
98,96601070,M,25,Asian American,Grad,25K --50K,North,City Hotel,11/21/2016,11/23/2016,4/29/2016,1,1,1,BB,No,No,Non-Refundable,Online,Yes,Yes,10,218,2,206
99,9849013,F,18,Latino,High-School,>100K,West,Airport Hotels,11/20/2016,11/21/2016,5/28/2016,2,3,0,BB,No,No,Refundable,Online,Yes,Yes,10,168,1,176
100,61268622,M,55,caucasian,Mid-School,25K --50K,North,Airport Hotels,11/20/2016,11/21/2016,5/22/2016,5,3,0,FB,Yes,Yes,No Deposit,Direct,No,No,0,157,1,182
101,71369022,M,22,Asian American,College,25K --50K,South,Resort,11/20/2016,11/22/2016,9/18/2016,2,2,0,BB,No,No,Non-Refundable,Agent,Yes,No,0,240,2,63
102,56819796,M,47,African American,High-School,<25K,East,City Hotel,11/20/2016,11/21/2016,6/24/2016,2,1,1,BB,Yes,No,No Deposit,Online,Yes,Yes,10,134,1,149
103,44480838,M,49,Latino,College,>100K,North,Airport Hotels,11/20/2016,11/21/2016,10/11/2016,3,2,0,BB,No,No,No Deposit,Online,No,Yes,25,137,1,40
104,46997829,F,25,Asian American,College,<25K,South,Resort,11/20/2016,11/23/2016,11/9/2016,2,3,0,FB,No,No,No Deposit,Online,No,Yes,5,246,3,11
105,19493041,F,67,Latino,Mid-School,25K --50K,South,City Hotel,11/20/2016,11/23/2016,8/30/2016,2,3,0,FB,Yes,No,No Deposit,Direct,Yes,No,0,143,3,82
106,44705080,M,63,Asian American,College,>100K,North,Airport Hotels,11/20/2016,11/23/2016,6/18/2016,2,2,0,HB,No,No,Refundable,Direct,Yes,Yes,30,124,3,155
107,68317504,M,38,Asian American,Grad,50K -- 100K,South,Resort,11/20/2016,11/22/2016,5/6/2016,2,3,0,BB,Yes,No,Refundable,Online,No,Yes,5,228,2,198
108,99142742,F,67,African American,Mid-School,50K -- 100K,West,City Hotel,11/20/2016,11/22/2016,7/31/2016,5,1,1,FB,No,No,Refundable,Online,Yes,Yes,40,158,2,112
109,10932581,F,23,Latino,Grad,<25K,North,Airport Hotels,11/20/2016,11/21/2016,8/2/2016,2,1,1,HB,No,No,No Deposit,Online,Yes,Yes,20,170,1,110
110,34186149,F,69,Asian American,College,<25K,North,Resort,11/20/2016,11/22/2016,10/15/2016,2,3,1,HB,Yes,Yes,No Deposit,Online,Yes,Yes,10,201,2,36
111,14986967,F,33,Latino,College,25K --50K,East,City Hotel,11/20/2016,11/23/2016,5/1/2016,3,1,0,HB,No,No,No Deposit,Direct,No,Yes,20,194,3,203
112,75352672,M,58,Latino,College,<25K,South,Resort,11/20/2016,11/22/2016,10/17/2016,3,1,0,BB,Yes,Yes,No Deposit,Online,Yes,Yes,10,223,2,34
113,73587761,M,24,Latino,College,50K -- 100K,North,Airport Hotels,11/20/2016,11/21/2016,8/2/2016,3,3,0,FB,No,No,Refundable,Online,No,Yes,15,217,1,110
114,24225853,F,21,African American,Grad,50K -- 100K,East,Resort,11/20/2016,11/22/2016,6/7/2016,2,1,1,FB,Yes,No,Non-Refundable,Online,Yes,Yes,10,144,2,166
115,31053495,F,39,African American,High-School,50K -- 100K,South,Resort,11/20/2016,11/22/2016,5/11/2016,1,2,1,BB,Yes,Yes,No Deposit,Agent,Yes,Yes,10,138,2,193
116,7544562,F,67,African American,Mid-School,>100K,South,City Hotel,11/20/2016,11/21/2016,9/18/2016,2,1,0,HB,No,No,No Deposit,Direct,No,Yes,40,179,1,63
117,84009718,M,38,Asian American,Grad,25K --50K,East,Airport Hotels,11/20/2016,11/22/2016,5/28/2016,1,1,0,FB,No,No,Refundable,Direct,Yes,Yes,25,217,2,176
118,12848784,F,27,Latino,College,50K -- 100K,North,Resort,11/20/2016,11/21/2016,7/5/2016,2,2,0,BB,No,No,No Deposit,Direct,No,Yes,10,204,1,138
119,22206000,M,48,caucasian,College,<25K,South,Airport Hotels,11/20/2016,11/21/2016,10/13/2016,1,1,0,BB,No,No,Refundable,Online,Yes,Yes,40,179,1,38
120,71645476,M,61,Asian American,College,50K -- 100K,West,City Hotel,11/20/2016,11/24/2016,8/31/2016,2,2,0,FB,Yes,No,No Deposit,Direct,Yes,Yes,20,176,4,81
121,63933616,F,34,caucasian,High-School,25K --50K,South,Resort,2/15/2017,2/16/2017,9/25/2016,2,3,0,HB,No,No,Refundable,Agent,No,Yes,25,157,1,143
122,98523961,M,24,caucasian,College,25K --50K,South,Airport Hotels,11/20/2016,11/21/2016,7/1/2016,1,1,0,BB,Yes,No,No Deposit,Agent,Yes,No,0,146,1,142
123,48949293,M,19,Latino,High-School,25K --50K,North,Airport Hotels,2/15/2017,2/16/2017,11/8/2016,3,1,0,HB,No,No,No Deposit,Online,Yes,Yes,30,138,1,99
124,54039707,F,36,caucasian,College,25K --50K,East,Airport Hotels,11/20/2016,11/22/2016,9/7/2016,1,2,1,HB,No,No,Refundable,Direct,Yes,Yes,25,101,2,74
125,74268516,F,20,African American,College,50K -- 100K,East,Airport Hotels,11/20/2016,11/21/2016,4/13/2016,5,2,0,HB,No,No,Refundable,Online,Yes,Yes,10,164,1,221
126,61747586,M,30,Asian American,Grad,25K --50K,East,Airport Hotels,11/21/2016,11/22/2016,6/29/2016,2,3,0,BB,Yes,Yes,No Deposit,Online,Yes,Yes,25,246,1,145
127,73468379,F,28,Latino,High-School,25K --50K,North,City Hotel,11/21/2016,11/23/2016,7/1/2016,2,2,0,BB,No,No,Non-Refundable,Agent,No,Yes,40,180,2,143
128,11357536,F,21,Asian American,Grad,25K --50K,North,Airport Hotels,11/21/2016,11/22/2016,7/4/2016,5,1,1,HB,No,No,No Deposit,Online,No,Yes,30,138,1,140
129,57315445,F,70,African American,High-School,50K -- 100K,South,Airport Hotels,11/21/2016,11/22/2016,11/6/2016,3,2,0,BB,Yes,No,Refundable,Direct,No,Yes,20,115,1,15
130,98107193,F,39,Asian American,Mid-School,<25K,East,Resort,11/21/2016,11/23/2016,8/18/2016,1,2,0,HB,No,No,No Deposit,Online,Yes,Yes,10,106,2,95
131,36317156,M,18,Asian American,Mid-School,>100K,East,City Hotel,11/21/2016,11/23/2016,11/11/2016,1,2,0,FB,No,No,No Deposit,Online,Yes,No,0,219,2,10
132,87140045,F,55,African American,College,50K -- 100K,North,Resort,11/21/2016,11/22/2016,8/7/2016,2,1,0,FB,No,No,Refundable,Direct,Yes,No,0,168,1,106
133,3858417,M,63,caucasian,College,25K --50K,South,Airport Hotels,11/21/2016,11/22/2016,4/30/2016,2,3,0,HB,No,No,No Deposit,Online,Yes,Yes,10,109,1,205
134,3484037,M,45,Latino,College,<25K,North,Resort,11/21/2016,11/23/2016,11/21/2016,1,2,1,FB,Yes,Yes,Non-Refundable,Direct,Yes,Yes,20,146,2,0
135,22152722,F,61,caucasian,College,<25K,South,City Hotel,11/21/2016,11/22/2016,10/3/2016,1,1,0,FB,No,No,No Deposit,Online,Yes,No,0,116,1,49
136,57476767,M,54,African American,Grad,50K -- 100K,West,Resort,11/21/2016,11/22/2016,6/25/2016,1,1,0,BB,No,No,Non-Refundable,Agent,No,Yes,40,186,1,149
137,76342541,M,37,Latino,High-School,<25K,West,City Hotel,11/21/2016,11/22/2016,8/1/2016,1,2,1,HB,No,No,No Deposit,Direct,Yes,No,0,237,1,112
138,45672997,M,52,Latino,High-School,50K -- 100K,South,Resort,11/21/2016,11/24/2016,4/30/2016,1,2,0,BB,Yes,No,No Deposit,Online,Yes,Yes,25,105,3,205
139,56546990,M,26,caucasian,Grad,25K --50K,West,Airport Hotels,11/21/2016,11/22/2016,7/9/2016,2,2,2,HB,Yes,No,No Deposit,Direct,Yes,Yes,20,158,1,135
140,95346355,F,53,African American,High-School,50K -- 100K,East,Airport Hotels,11/21/2016,11/25/2016,10/29/2016,3,2,1,FB,No,No,No Deposit,Direct,No,Yes,5,207,4,23
141,33870599,F,36,caucasian,College,<25K,East,Resort,11/21/2016,11/23/2016,9/8/2016,2,1,0,HB,No,No,Non-Refundable,Direct,Yes,No,0,199,2,74
142,48651179,F,41,caucasian,College,25K --50K,South,Resort,11/21/2016,11/22/2016,10/6/2016,1,2,2,FB,No,No,Refundable,Agent,No,Yes,5,167,1,46
143,66744667,F,60,Latino,Grad,50K -- 100K,South,City Hotel,11/21/2016,11/22/2016,7/14/2016,2,2,1,BB,Yes,No,No Deposit,Online,Yes,Yes,5,195,1,130
144,33429510,F,61,Latino,College,25K --50K,South,Resort,11/21/2016,11/22/2016,5/4/2016,1,1,1,BB,Yes,No,No Deposit,Direct,No,No,0,156,1,201
145,29185964,F,39,Latino,College,50K -- 100K,West,Airport Hotels,11/21/2016,11/23/2016,8/7/2016,2,3,0,FB,No,No,No Deposit,Online,Yes,Yes,20,204,2,106
146,22782756,M,49,caucasian,Mid-School,50K -- 100K,West,Airport Hotels,11/21/2016,11/22/2016,10/19/2016,3,2,0,FB,No,No,No Deposit,Online,Yes,No,0,218,1,33
147,93139781,F,58,Asian American,Grad,>100K,East,Airport Hotels,11/21/2016,11/22/2016,7/1/2016,3,1,1,FB,Yes,Yes,No Deposit,Agent,Yes,Yes,5,187,1,143
148,40786744,F,59,African American,College,50K -- 100K,South,Airport Hotels,11/21/2016,11/24/2016,7/5/2016,1,2,0,FB,No,No,Refundable,Direct,Yes,Yes,5,194,3,139
149,6137983,F,24,African American,High-School,<25K,West,Resort,11/21/2016,11/22/2016,4/29/2016,2,1,1,FB,Yes,No,Non-Refundable,Direct,Yes,Yes,5,243,1,206
